pathway_accession,mapped_ids,pathway,components,subfamilies,associated_sequence,hugo_gene
P00027,MOUSE|MGI=MGI=1921575|UniProtKB=Q6IRU5,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Cltb
P00027,MOUSE|MGI=MGI=1096342|UniProtKB=Q9QUI0,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rhoa
P00027,MOUSE|MGI=MGI=105372|UniProtKB=P49660,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Sstr4
P00027,MOUSE|MGI=MGI=97598|UniProtKB=P28867,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkcd
P00027,MOUSE|MGI=MGI=97601|UniProtKB=Q02111,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkcq
P00027,MOUSE|MGI=MGI=99418|UniProtKB=Q9Z329,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Itpr2
P00027,MOUSE|MGI=MGI=97599|UniProtKB=P16054,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkce
P00027,MOUSE|MGI=MGI=1347078|UniProtKB=O70293,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Grk6
P00027,MOUSE|MGI=MGI=99402|UniProtKB=Q60613,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Adora2a
P00027,MOUSE|MGI=MGI=87940|UniProtKB=Q99MK8,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Grk2
P00027,MOUSE|MGI=MGI=1354734|UniProtKB=Q9DC04,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs3
P00027,MOUSE|MGI=MGI=1915153|UniProtKB=Q9CX84,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs19
P00027,MOUSE|MGI=MGI=98328|UniProtKB=P30875,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Sstr2
P00027,MOUSE|MGI=MGI=1098271|UniProtKB=O08849,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs2
P00027,MOUSE|MGI=MGI=95784|UniProtKB=P62880,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gnb2
P00027,MOUSE|MGI=MGI=95770|UniProtKB=P30678,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gna15
P00027,MOUSE|MGI=MGI=109164|UniProtKB=Q80SZ7,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gng5
P00027,MOUSE|MGI=MGI=894297|UniProtKB=O08585,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Clta
P00027,MOUSE|MGI=MGI=894315|UniProtKB=Q99JI6,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rap1b
P00027,MOUSE|MGI=MGI=1354694|UniProtKB=Q9JL25,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rgs1
P00027,MOUSE|MGI=MGI=96623|UniProtKB=P11881,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Itpr1
P00027,MOUSE|MGI=MGI=95781|UniProtKB=P62874,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gnb1
P00027,MOUSE|MGI=MGI=97595|UniProtKB=P20444,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkca
P00027,MOUSE|MGI=MGI=98329|UniProtKB=P30935,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Sstr3
P00027,MOUSE|MGI=MGI=1336169|UniProtKB=Q9CXP8,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gng10
P00027,MOUSE|MGI=MGI=98327|UniProtKB=P30873,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Sstr1
P00027,MOUSE|MGI=MGI=98510|UniProtKB=P15806,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Tcf3
P00027,MOUSE|MGI=MGI=1923373|UniProtKB=Q8VDU0,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gpsm2
P00027,MOUSE|MGI=MGI=102705|UniProtKB=P63213,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Gng2
P00027,MOUSE|MGI=MGI=1333849|UniProtKB=Q9QUG9,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rasgrp2
P00027,MOUSE|MGI=MGI=97596|UniProtKB=P68404,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Prkcb
P00027,MOUSE|MGI=MGI=1314635|UniProtKB=Q9Z1S3,Heterotrimeric G-protein signaling pathway-Gq alpha and Go alpha mediated pathway,21,159,810,Rasgrp1
P06212,MOUSE|MGI=MGI=2137520|UniProtKB=Q9EP52,DPP-SCW_signaling_pathway,21,16,16,Twsg1
P00053,MOUSE|MGI=MGI=95574|UniProtKB=P01101,T cell activation,45,96,541,Fos
P00053,MOUSE|MGI=MGI=96680|UniProtKB=P32883,T cell activation,45,96,541,Kras
P00053,MOUSE|MGI=MGI=88334|UniProtKB=P24161,T cell activation,45,96,541,Cd247
P00053,MOUSE|MGI=MGI=95805|UniProtKB=Q60631,T cell activation,45,96,541,Grb2
P00053,MOUSE|MGI=MGI=96646|UniProtKB=P05627,T cell activation,45,96,541,Jun
P00053,MOUSE|MGI=MGI=88065|UniProtKB=P04627,T cell activation,45,96,541,Araf
P00053,MOUSE|MGI=MGI=1353576|UniProtKB=Q9JHG7,T cell activation,45,96,541,Pik3cg
P00053,MOUSE|MGI=MGI=1342293|UniProtKB=O54957,T cell activation,45,96,541,Lat
P00053,MOUSE|MGI=MGI=97845|UniProtKB=P63001,T cell activation,45,96,541,Rac1
P00053,MOUSE|MGI=MGI=1346862|UniProtKB=Q9WTU6,T cell activation,45,96,541,Mapk9
P00053,MOUSE|MGI=MGI=88537|UniProtKB=P41241,T cell activation,45,96,541,Csk
P00053,MOUSE|MGI=MGI=97583|UniProtKB=P26450,T cell activation,45,96,541,Pik3r1
P00053,MOUSE|MGI=MGI=104741|UniProtKB=Q9Z1E3,T cell activation,45,96,541,Nfkbia
P00053,MOUSE|MGI=MGI=101775|UniProtKB=Q00609,T cell activation,45,96,541,Cd80
P00053,MOUSE|MGI=MGI=97810|UniProtKB=P06800,T cell activation,45,96,541,Ptprc
P00053,MOUSE|MGI=MGI=96534|UniProtKB=P04441,T cell activation,45,96,541,Cd74
P00053,MOUSE|MGI=MGI=88327|UniProtKB=P31041,T cell activation,45,96,541,Cd28
P00053,MOUSE|MGI=MGI=4835227|UniProtKB=A0A075B5J4,T cell activation,45,96,541,Trbc2
P00053,MOUSE|MGI=MGI=96756|UniProtKB=P06240,T cell activation,45,96,541,Lck
P00053,MOUSE|MGI=MGI=88331|UniProtKB=P04235,T cell activation,45,96,541,Cd3d
P00053,MOUSE|MGI=MGI=107164|UniProtKB=P63328,T cell activation,45,96,541,Ppp3ca
P00053,MOUSE|MGI=MGI=96623|UniProtKB=P11881,T cell activation,45,96,541,Itpr1
P00053,MOUSE|MGI=MGI=1346859|UniProtKB=Q63844,T cell activation,45,96,541,Mapk3
P00053,MOUSE|MGI=MGI=107162|UniProtKB=P48455,T cell activation,45,96,541,Ppp3cc
P00053,MOUSE|MGI=MGI=1338071|UniProtKB=O88351,T cell activation,45,96,541,Ikbkb
P00053,MOUSE|MGI=MGI=101773|UniProtKB=P42082,T cell activation,45,96,541,Cd86
P00053,MOUSE|MGI=MGI=1346858|UniProtKB=P63085,T cell activation,45,96,541,Mapk1
P00053,MOUSE|MGI=MGI=2445019|UniProtKB=Q6PF93,T cell activation,45,96,541,Pik3c3
P00053,MOUSE|MGI=MGI=95921|UniProtKB=P28078,T cell activation,45,96,541,H2-DMa
P00053,MOUSE|MGI=MGI=95895|UniProtKB=P01910,T cell activation,45,96,541,H2-Aa
P00053,MOUSE|MGI=MGI=87986|UniProtKB=P31750,T cell activation,45,96,541,Akt1
P00053,MOUSE|MGI=MGI=97846|UniProtKB=Q05144,T cell activation,45,96,541,Rac2
P00053,MOUSE|MGI=MGI=1099800|UniProtKB=Q9WTK5,T cell activation,45,96,541,Nfkb2
P00053,MOUSE|MGI=MGI=106211|UniProtKB=P60766,T cell activation,45,96,541,Cdc42
P00053,MOUSE|MGI=MGI=103249|UniProtKB=P0DP28,T cell activation,45,96,541,Calm3
P00053,MOUSE|MGI=MGI=1346872|UniProtKB=P53349,T cell activation,45,96,541,Map3k1
P00053,MOUSE|MGI=MGI=88332|UniProtKB=P22646,T cell activation,45,96,541,Cd3e
P00053,MOUSE|MGI=MGI=1339984|UniProtKB=Q8CIN4,T cell activation,45,96,541,Pak2
P00053,MOUSE|MGI=MGI=88251|UniProtKB=P0DP26,T cell activation,45,96,541,Calm1
P00053,MOUSE|MGI=MGI=88333|UniProtKB=P11942,T cell activation,45,96,541,Cd3g
P00053,MOUSE|MGI=MGI=104874|UniProtKB=Q60823,T cell activation,45,96,541,Akt2
P00053,MOUSE|MGI=MGI=1206581|UniProtKB=P42337,T cell activation,45,96,541,Pik3ca
P00053,MOUSE|MGI=MGI=1321402|UniProtKB=Q60787,T cell activation,45,96,541,Lcp2
P00053,MOUSE|MGI=MGI=1098211|UniProtKB=O35904,T cell activation,45,96,541,Pik3cd
P00053,MOUSE|MGI=MGI=98354|UniProtKB=Q62245,T cell activation,45,96,541,Sos1
P00053,MOUSE|MGI=MGI=97601|UniProtKB=Q02111,T cell activation,45,96,541,Prkcq
P00053,MOUSE|MGI=MGI=97615|UniProtKB=Q62077,T cell activation,45,96,541,Plcg1
P00053,MOUSE|MGI=MGI=97312|UniProtKB=P25799,T cell activation,45,96,541,Nfkb1
P00053,MOUSE|MGI=MGI=96224|UniProtKB=Q61411,T cell activation,45,96,541,Hras
P00053,MOUSE|MGI=MGI=103296|UniProtKB=P97305,T cell activation,45,96,541,Nfatc3
P00053,MOUSE|MGI=MGI=107163|UniProtKB=P48453,T cell activation,45,96,541,Ppp3cb
P00053,MOUSE|MGI=MGI=4439726|UniProtKB=A0A075B5J3,T cell activation,45,96,541,Trbc1
P00053,MOUSE|MGI=MGI=98355|UniProtKB=Q02384,T cell activation,45,96,541,Sos2
P00053,MOUSE|MGI=MGI=88190|UniProtKB=P28028,T cell activation,45,96,541,Braf
P00053,MOUSE|MGI=MGI=88127|UniProtKB=P01887,T cell activation,45,96,541,B2m
P00053,MOUSE|MGI=MGI=109601|UniProtKB=Q99M51,T cell activation,45,96,541,Nck1
P00053,MOUSE|MGI=MGI=97376|UniProtKB=P08556,T cell activation,45,96,541,Nras
P00053,MOUSE|MGI=MGI=98923|UniProtKB=P27870,T cell activation,45,96,541,Vav1
P00053,MOUSE|MGI=MGI=102463|UniProtKB=Q60591,T cell activation,45,96,541,Nfatc2
P00053,MOUSE|MGI=MGI=102469|UniProtKB=O88942,T cell activation,45,96,541,Nfatc1
P00053,MOUSE|MGI=MGI=1346866|UniProtKB=P31938,T cell activation,45,96,541,Map2k1
P00053,MOUSE|MGI=MGI=1346867|UniProtKB=Q63932,T cell activation,45,96,541,Map2k2
P00053,MOUSE|MGI=MGI=97847|UniProtKB=Q99N57,T cell activation,45,96,541,Raf1
P00053,MOUSE|MGI=MGI=1339656|UniProtKB=Q61036,T cell activation,45,96,541,Pak3
P00053,MOUSE|MGI=MGI=99484|UniProtKB=Q60680,T cell activation,45,96,541,Chuk
P00053,MOUSE|MGI=MGI=1888518|UniProtKB=Q9R0C8,T cell activation,45,96,541,Vav3
P00053,MOUSE|MGI=MGI=1333842|UniProtKB=O89100,T cell activation,45,96,541,Grap2
P00053,MOUSE|MGI=MGI=99613|UniProtKB=P43404,T cell activation,45,96,541,Zap70
P00053,MOUSE|MGI=MGI=103250|UniProtKB=P0DP27,T cell activation,45,96,541,Calm2
P00055,MOUSE|MGI=MGI=109299|UniProtKB=P97760,Transcription regulation by bZIP transcription factor,25,94,494,Polr2c
P00055,MOUSE|MGI=MGI=109129|UniProtKB=Q62311,Transcription regulation by bZIP transcription factor,25,94,494,Taf6
P00055,MOUSE|MGI=MGI=1913741|UniProtKB=P62876,Transcription regulation by bZIP transcription factor,25,94,494,Polr2l
P00055,MOUSE|MGI=MGI=104878|UniProtKB=Q9DBC7,Transcription regulation by bZIP transcription factor,25,94,494,Prkar1a
P00055,MOUSE|MGI=MGI=88494|UniProtKB=Q01147,Transcription regulation by bZIP transcription factor,25,94,494,Creb1
P00055,MOUSE|MGI=MGI=1919558|UniProtKB=Q8CFK2,Transcription regulation by bZIP transcription factor,25,94,494,Brf1
P00055,MOUSE|MGI=MGI=1926953|UniProtKB=Q7TSG2,Transcription regulation by bZIP transcription factor,25,94,494,Ctdp1
P00055,MOUSE|MGI=MGI=1276116|UniProtKB=B2RWS6,Transcription regulation by bZIP transcription factor,25,94,494,Ep300
P00055,MOUSE|MGI=MGI=1917170|UniProtKB=P60898,Transcription regulation by bZIP transcription factor,25,94,494,Polr2i
P00055,MOUSE|MGI=MGI=1346348|UniProtKB=Q9R1C0,Transcription regulation by bZIP transcription factor,25,94,494,Taf7
P00055,MOUSE|MGI=MGI=1913714|UniProtKB=Q8VE65,Transcription regulation by bZIP transcription factor,25,94,494,Taf12
P00055,MOUSE|MGI=MGI=105044|UniProtKB=Q62187,Transcription regulation by bZIP transcription factor,25,94,494,Ttf1
P00055,MOUSE|MGI=MGI=1098280|UniProtKB=P45481,Transcription regulation by bZIP transcription factor,25,94,494,Crebbp
P00055,MOUSE|MGI=MGI=1277143|UniProtKB=Q8VD76,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2h3
P00055,MOUSE|MGI=MGI=1098610|UniProtKB=O35047,Transcription regulation by bZIP transcription factor,25,94,494,Psmc3ip
P00055,MOUSE|MGI=MGI=1349393|UniProtKB=P61219,Transcription regulation by bZIP transcription factor,25,94,494,Polr2f
P00055,MOUSE|MGI=MGI=1339946|UniProtKB=P62340,Transcription regulation by bZIP transcription factor,25,94,494,Tbpl1
P00055,MOUSE|MGI=MGI=108025|UniProtKB=P12367,Transcription regulation by bZIP transcription factor,25,94,494,Prkar2a
P00055,MOUSE|MGI=MGI=2384309|UniProtKB=Q923G2,Transcription regulation by bZIP transcription factor,25,94,494,Polr2h
P00055,MOUSE|MGI=MGI=1915955|UniProtKB=Q8R0A0,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2f2
P00055,MOUSE|MGI=MGI=1921447|UniProtKB=Q9D0D5,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2e1
P00055,MOUSE|MGI=MGI=1338799|UniProtKB=O70422,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2h4
P00055,MOUSE|MGI=MGI=1933289|UniProtKB=Q80ZM7,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2a2
P00055,MOUSE|MGI=MGI=107428|UniProtKB=Q8BTU1,Transcription regulation by bZIP transcription factor,25,94,494,Cfap20
P00055,MOUSE|MGI=MGI=2385191|UniProtKB=P62915,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2b
P00055,MOUSE|MGI=MGI=99946|UniProtKB=Q61817,Transcription regulation by bZIP transcription factor,25,94,494,Creb3
P00055,MOUSE|MGI=MGI=1923848|UniProtKB=Q3THK3,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2f1
P00055,MOUSE|MGI=MGI=1926879|UniProtKB=Q9EQH4,Transcription regulation by bZIP transcription factor,25,94,494,Taf8
P00055,MOUSE|MGI=MGI=1913670|UniProtKB=Q80UW8,Transcription regulation by bZIP transcription factor,25,94,494,Polr2e
P00055,MOUSE|MGI=MGI=2443028|UniProtKB=Q8C176,Transcription regulation by bZIP transcription factor,25,94,494,Taf2
P00055,MOUSE|MGI=MGI=1915403|UniProtKB=Q9D902,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2e2
P00055,MOUSE|MGI=MGI=1916026|UniProtKB=Q99JX1,Transcription regulation by bZIP transcription factor,25,94,494,Taf11
P00055,MOUSE|MGI=MGI=1921294|UniProtKB=Q5NC05,Transcription regulation by bZIP transcription factor,25,94,494,Ttf2
P00055,MOUSE|MGI=MGI=109576|UniProtKB=Q6PDZ2,Transcription regulation by bZIP transcription factor,25,94,494,Taf1c
P00055,MOUSE|MGI=MGI=88495|UniProtKB=P27699,Transcription regulation by bZIP transcription factor,25,94,494,Crem
P00055,MOUSE|MGI=MGI=2442695|UniProtKB=Q8BH52,Transcription regulation by bZIP transcription factor,25,94,494,Creb3l2
P00055,MOUSE|MGI=MGI=1277216|UniProtKB=Q9DBA9,Transcription regulation by bZIP transcription factor,25,94,494,Gtf2h1
P00055,MOUSE|MGI=MGI=3039562|UniProtKB=Q6NZA9,Transcription regulation by bZIP transcription factor,25,94,494,Taf9b
P00055,MOUSE|MGI=MGI=101838|UniProtKB=P29037,Transcription regulation by bZIP transcription factor,25,94,494,Tbp
P00055,MOUSE|MGI=MGI=1916491|UniProtKB=Q9D7M8,Transcription regulation by bZIP transcription factor,25,94,494,Polr2d
P00059,MOUSE|MGI=MGI=102952|UniProtKB=O88673,p53 pathway,70,122,581,Dgka
P00059,MOUSE|MGI=MGI=96952|UniProtKB=P23804,p53 pathway,70,122,581,Mdm2
P00059,MOUSE|MGI=MGI=1346325|UniProtKB=Q9Z111,p53 pathway,70,122,581,Gadd45g
P00059,MOUSE|MGI=MGI=1203729|UniProtKB=Q61194,p53 pathway,70,122,581,Pik3c2a
P00059,MOUSE|MGI=MGI=1353576|UniProtKB=Q9JHG7,p53 pathway,70,122,581,Pik3cg
P00059,MOUSE|MGI=MGI=107157|UniProtKB=Q60520,p53 pathway,70,122,581,Sin3a
P00059,MOUSE|MGI=MGI=1355314|UniProtKB=Q99J79,p53 pathway,70,122,581,Ddb2
P00059,MOUSE|MGI=MGI=1336201|UniProtKB=Q9Z172,p53 pathway,70,122,581,Sumo3
P00059,MOUSE|MGI=MGI=1321161|UniProtKB=P62715,p53 pathway,70,122,581,Ppp2cb
P00059,MOUSE|MGI=MGI=2135607|UniProtKB=Q923E4,p53 pathway,70,122,581,Sirt1
P00059,MOUSE|MGI=MGI=98834|UniProtKB=P02340,p53 pathway,70,122,581,Tp53
P00059,MOUSE|MGI=MGI=97583|UniProtKB=P26450,p53 pathway,70,122,581,Pik3r1
P00059,MOUSE|MGI=MGI=88302|UniProtKB=P24860,p53 pathway,70,122,581,Ccnb1
P00059,MOUSE|MGI=MGI=1858746|UniProtKB=Q8BRB7,p53 pathway,70,122,581,Kat6b
P00059,MOUSE|MGI=MGI=108086|UniProtKB=O09106,p53 pathway,70,122,581,Hdac1
P00059,MOUSE|MGI=MGI=1098280|UniProtKB=P45481,p53 pathway,70,122,581,Crebbp
P00059,MOUSE|MGI=MGI=99702|UniProtKB=Q07813,p53 pathway,70,122,581,Bax
P00059,MOUSE|MGI=MGI=1096340|UniProtKB=O35261,p53 pathway,70,122,581,E2f3
P00059,MOUSE|MGI=MGI=108028|UniProtKB=Q9JKK8,p53 pathway,70,122,581,Atr
P00059,MOUSE|MGI=MGI=95484|UniProtKB=P25446,p53 pathway,70,122,581,Fas
P00059,MOUSE|MGI=MGI=107934|UniProtKB=O35618,p53 pathway,70,122,581,Mdm4
P00059,MOUSE|MGI=MGI=108072|UniProtKB=P70196,p53 pathway,70,122,581,Traf6
P00059,MOUSE|MGI=MGI=88351|UniProtKB=P11440,p53 pathway,70,122,581,Cdk1
P00059,MOUSE|MGI=MGI=1891831|UniProtKB=O70456,p53 pathway,70,122,581,Sfn
P00059,MOUSE|MGI=MGI=102890|UniProtKB=P51945,p53 pathway,70,122,581,Ccng1
P00059,MOUSE|MGI=MGI=96113|UniProtKB=P63158,p53 pathway,70,122,581,Hmgb1
P00059,MOUSE|MGI=MGI=1346340|UniProtKB=Q9R190,p53 pathway,70,122,581,Mta2
P00059,MOUSE|MGI=MGI=2445019|UniProtKB=Q6PF93,p53 pathway,70,122,581,Pik3c3
P00059,MOUSE|MGI=MGI=87986|UniProtKB=P31750,p53 pathway,70,122,581,Akt1
P00059,MOUSE|MGI=MGI=104772|UniProtKB=P97377,p53 pathway,70,122,581,Cdk2
P00059,MOUSE|MGI=MGI=105387|UniProtKB=Q60773,p53 pathway,70,122,581,Cdkn2d
P00059,MOUSE|MGI=MGI=1321159|UniProtKB=P63330,p53 pathway,70,122,581,Ppp2ca
P00059,MOUSE|MGI=MGI=104556|UniProtKB=P39689,p53 pathway,70,122,581,Cdkn1a
P00059,MOUSE|MGI=MGI=1929938|UniProtKB=Q9JK95,p53 pathway,70,122,581,Perp
P00059,MOUSE|MGI=MGI=98181|UniProtKB=P11157,p53 pathway,70,122,581,Rrm2
P00059,MOUSE|MGI=MGI=107776|UniProtKB=P22339,p53 pathway,70,122,581,Gadd45b
P00059,MOUSE|MGI=MGI=1930146|UniProtKB=Q9JM54,p53 pathway,70,122,581,Pmaip1
P00059,MOUSE|MGI=MGI=88316|UniProtKB=Q61457,p53 pathway,70,122,581,Ccne1
P00059,MOUSE|MGI=MGI=1338068|UniProtKB=Q9Z2A0,p53 pathway,70,122,581,Pdpk1
P00059,MOUSE|MGI=MGI=104874|UniProtKB=Q60823,p53 pathway,70,122,581,Akt2
P00059,MOUSE|MGI=MGI=1206581|UniProtKB=P42337,p53 pathway,70,122,581,Pik3ca
P00059,MOUSE|MGI=MGI=104651|UniProtKB=P40237,p53 pathway,70,122,581,Cd82
P00059,MOUSE|MGI=MGI=1276116|UniProtKB=B2RWS6,p53 pathway,70,122,581,Ep300
P00059,MOUSE|MGI=MGI=1195270|UniProtKB=O54836,p53 pathway,70,122,581,Zmat3
P00059,MOUSE|MGI=MGI=108451|UniProtKB=Q5SWU9,p53 pathway,70,122,581,Acaca
P00059,MOUSE|MGI=MGI=2443588|UniProtKB=Q5SW28,p53 pathway,70,122,581,Pik3r5
P00059,MOUSE|MGI=MGI=1098211|UniProtKB=O35904,p53 pathway,70,122,581,Pik3cd
P00059,MOUSE|MGI=MGI=101835|UniProtKB=P39429,p53 pathway,70,122,581,Traf2
P00059,MOUSE|MGI=MGI=104662|UniProtKB=Q60953,p53 pathway,70,122,581,Pml
P00059,MOUSE|MGI=MGI=2158813|UniProtKB=P61957,p53 pathway,70,122,581,Sumo2
P00059,MOUSE|MGI=MGI=101765|UniProtKB=P49615,p53 pathway,70,122,581,Cdk5
P00059,MOUSE|MGI=MGI=109635|UniProtKB=O09053,p53 pathway,70,122,581,Wrn
P00059,MOUSE|MGI=MGI=103198|UniProtKB=P48964,p53 pathway,70,122,581,Cdc25a
P00059,MOUSE|MGI=MGI=105388|UniProtKB=Q60772,p53 pathway,70,122,581,Cdkn2c
P00059,MOUSE|MGI=MGI=1197010|UniProtKB=P63166,p53 pathway,70,122,581,Sumo1
P00059,MOUSE|MGI=MGI=1306796|UniProtKB=O88879,p53 pathway,70,122,581,Apaf1
P00059,MOUSE|MGI=MGI=1858214|UniProtKB=Q9QZ67,p53 pathway,70,122,581,Ppm1d
P00059,MOUSE|MGI=MGI=1097691|UniProtKB=P70288,p53 pathway,70,122,581,Hdac2
P00059,MOUSE|MGI=MGI=107202|UniProtKB=Q62388,p53 pathway,70,122,581,Atm
P00059,MOUSE|MGI=MGI=109583|UniProtKB=O08586,p53 pathway,70,122,581,Pten
P04385,MOUSE|MGI=MGI=1352756|UniProtKB=Q8K394,Histamine H1 receptor mediated signaling pathway,5,70,377,Plcl2
P04385,MOUSE|MGI=MGI=95766|UniProtKB=P21278,Histamine H1 receptor mediated signaling pathway,5,70,377,Gna11
P04385,MOUSE|MGI=MGI=893584|UniProtKB=Q61017,Histamine H1 receptor mediated signaling pathway,5,70,377,Gngt2
P04385,MOUSE|MGI=MGI=95784|UniProtKB=P62880,Histamine H1 receptor mediated signaling pathway,5,70,377,Gnb2
P04385,MOUSE|MGI=MGI=96624|UniProtKB=P70227,Histamine H1 receptor mediated signaling pathway,5,70,377,Itpr3
P04385,MOUSE|MGI=MGI=109164|UniProtKB=Q80SZ7,Histamine H1 receptor mediated signaling pathway,5,70,377,Gng5
P04385,MOUSE|MGI=MGI=104581|UniProtKB=P29387,Histamine H1 receptor mediated signaling pathway,5,70,377,Gnb4
P04385,MOUSE|MGI=MGI=96623|UniProtKB=P11881,Histamine H1 receptor mediated signaling pathway,5,70,377,Itpr1
