,mean,std,no_expr_cells,no_expr/total_cell
Ino80d,0.0465206578373909,0.14609584212303162,4385.0,0.8808758537565288
Ino80dos,0.004290779121220112,0.049306295812129974,4930.0,0.9903575733226195
Gm20342,0.006886095739901066,0.06365010142326355,4897.0,0.9837284049819205
Ndufs1,0.11545943468809128,0.21941958367824554,3638.0,0.7308155885897951
Eef1b2,1.819776177406311,0.434685081243515,90.0,0.01807955002008839
Zdbf2,0.00824105367064476,0.06702865660190582,4880.0,0.9803133788670149
Fastkd2,0.036710936576128006,0.12631365656852722,4478.0,0.8995580554439534
Klf7,0.03334198519587517,0.13177213072776794,4587.0,0.9214543993571715
Creb1,0.11824909597635269,0.23254232108592987,3682.0,0.7396544797107272
Mettl21a,0.04365899786353111,0.14431090652942657,4442.0,0.892326235435918
2810408I11Rik,0.046513330191373825,0.13785725831985474,4345.0,0.872840498192045
Ccnyl1,0.010077361017465591,0.07134250551462173,4852.0,0.9746886299718762
Fzd5,0.014935415238142014,0.09228697419166565,4801.0,0.9644435516271596
Plekhm3,0.021005166694521904,0.0998772382736206,4708.0,0.9457613499397348
Idh1,0.011466422118246555,0.0741797536611557,4824.0,0.9690638810767377
Pikfyve,0.0267275832593441,0.11092529445886612,4633.0,0.9306950582563278
Map2,0.017849614843726158,0.09599683433771133,4769.0,0.9580152671755725
Rpe,0.13921886682510376,0.24359621107578278,3440.0,0.6910405785456006
Kansl1l,0.027299530804157257,0.12026496976613998,4656.0,0.9353153877059059
Acadl,0.6210359930992126,0.46817252039909363,1242.0,0.24949779027721977
Lancl1,0.1127886176109314,0.22452448308467865,3721.0,0.7474889513860988
Gm29113,0.0005213760305196047,0.012511752545833588,4967.0,0.997790277219767
Gm29114,0.0005212433752603829,0.012158595025539398,4968.0,0.9979911611088791
Ikzf2,0.43907955288887024,0.4572514593601227,1988.0,0.3993571715548413
Gm29112,0.008660498075187206,0.07383588701486588,4876.0,0.9795098433105665
Gm28112,0.007114289328455925,0.064243845641613,4893.0,0.9829248694254721
Spag16,0.00021758198272436857,0.007771458011120558,4974.0,0.9991964644435516
Bard1,0.08598895370960236,0.19698025286197662,3957.0,0.7948975492165529
Atic,0.23517608642578125,0.31538915634155273,2842.0,0.5709120128565689
Fn1,0.00011811821605078876,0.006497405935078859,4976.0,0.9995982322217758
Mreg,0.01238771341741085,0.07577192783355713,4810.0,0.9662515066291684
Pecr,0.012465178966522217,0.07309100776910782,4799.0,0.9640417838489354
Xrcc5,0.08058400452136993,0.18771888315677643,3990.0,0.8015267175572519
Smarcal1,0.021175412461161613,0.10244384407997131,4700.0,0.9441542788268381
Rpl37a,3.007814645767212,0.33709073066711426,5.0,0.001004419445560466
Igfbp2,0.004372539464384317,0.0669940635561943,4948.0,0.9939734833266372
Tns1,0.006122988648712635,0.05321395397186279,4891.0,0.9825231016472479
Arpc2,1.463323950767517,0.45212170481681824,164.0,0.03294495781438329
Gpbar1,0.0,0.0,4978.0,1.0
Aamp,0.24291813373565674,0.31599217653274536,2689.0,0.5401767778224187
Pnkd,0.20541323721408844,0.29434600472450256,2941.0,0.5907995178786661
Tmbim1,0.07432284951210022,0.1902948021888733,4126.0,0.8288469264764966
Gm29358,0.0006647015106864274,0.03122863918542862,4974.0,0.9991964644435516
Slc11a1,0.007665159180760384,0.05531962215900421,4863.0,0.9768983527521092
Ctdsp1,0.053010210394859314,0.1620078831911087,4349.0,0.8736440337484934
Vil1,0.00039832183392718434,0.012262850068509579,4972.0,0.9987946966653274
Usp37,0.08971912413835526,0.20159710943698883,3936.0,0.7906789875451988
Cnot9,0.1015518456697464,0.20985165238380432,3791.0,0.7615508236239453
Plcd4,0.0024326839484274387,0.03769875317811966,4950.0,0.9943752511048614
Zfp142,0.0637899711728096,0.17684125900268555,4242.0,0.8521494576134994
Bcs1l,0.03486993908882141,0.12642918527126312,4525.0,0.9089995982322218
Rnf25,0.04290042445063591,0.14171308279037476,4444.0,0.8927280032141423
Stk36,0.0002250059333164245,0.011504572816193104,4976.0,0.9995982322217758
Ttll4,0.011885926127433777,0.07953368872404099,4831.0,0.9704700683005223
Wnt10a,0.00025220747920684516,0.009512524120509624,4974.0,0.9991964644435516
Nhej1,0.0006724896375089884,0.01646909862756729,4968.0,0.9979911611088791
Cnppd1,0.19055089354515076,0.2940192222595215,3115.0,0.6257533145841704
Retreg2,0.11996681988239288,0.23248054087162018,3649.0,0.7330253113700281
Zfand2b,0.06998267769813538,0.1836923509836197,4155.0,0.8346725592607472
Abcb6,0.010794050991535187,0.06549219787120819,4815.0,0.9672559260747288
Atg9a,0.014100794680416584,0.0846882313489914,4802.0,0.9646444355162715
Ankzf1,0.028637433424592018,0.12136740237474442,4628.0,0.9296906388107674
Glb1l,0.003917020279914141,0.04350998252630234,4930.0,0.9903575733226195
Stk16,0.14475195109844208,0.25069937109947205,3407.0,0.6844114102049016
Tuba4a,0.38741055130958557,0.3918212354183197,2062.0,0.4142225793491362
A630095N17Rik,0.00012674971367232502,0.006414805073291063,4976.0,0.9995982322217758
Dnajb2,0.03640003874897957,0.13662217557430267,4551.0,0.9142225793491362
Ptprn,0.00025980392820201814,0.012587388977408409,4975.0,0.9993973483326637
Dnpep,0.12459026277065277,0.2326008379459381,3579.0,0.7189634391321816
Gmppa,0.08297409862279892,0.1945992112159729,3996.0,0.8027320208919244
Chpf,0.06786681711673737,0.1761314421892166,4148.0,0.8332663720369626
Obsl1,0.0011808432172983885,0.020961593836545944,4960.0,0.9963840899959823
Tmem198,0.0011757333995774388,0.020885242149233818,4961.0,0.9965849738850944
Stk11ip,0.022508881986141205,0.10502930730581284,4689.0,0.9419445560466051
Pax3,0.0002844881673809141,0.01487193163484335,4976.0,0.9995982322217758
Farsb,0.20032627880573273,0.2840389907360077,2987.0,0.6000401767778224
Mogat1,0.0008802155498415232,0.020884711295366287,4968.0,0.9979911611088791
Acsl3,0.011099719442427158,0.07387585192918777,4838.0,0.9718762555243069
Utp14b,0.002729551400989294,0.03402923792600632,4938.0,0.9919646444355162
Ap1s3,0.046758439391851425,0.14799289405345917,4407.0,0.8852952993169948
Wdfy1,0.03449990227818489,0.13345378637313843,4568.0,0.9176376054640418
Mrpl44,0.12154636532068253,0.22867156565189362,3599.0,0.7229811169144235
Serpine2,0.7168643474578857,0.7194170951843262,1838.0,0.36922458818802734
Fam124b,0.002685605315491557,0.03903394937515259,4949.0,0.9941743672157493
Cul3,0.15359541773796082,0.2586439847946167,3354.0,0.6737645640819606
Dock10,0.3922559320926666,0.39372718334198,1960.0,0.3937324226597027
Rhbdd1,0.02938331849873066,0.12427648901939392,4619.0,0.9278826838087585
Col4a4,7.817552977940068e-05,0.005515670403838158,4977.0,0.9997991161108879
C430014B12Rik,0.0006563992938026786,0.018268583342432976,4971.0,0.9985938127762154
Mff,0.2476951628923416,0.3134516775608063,2636.0,0.5295299316994777
Gm28942,0.0018033260712400079,0.03345650061964989,4961.0,0.9965849738850944
Agfg1,0.4365290701389313,0.40384674072265625,1734.0,0.34833266372036964
A030005L19Rik,0.00021513928368221968,0.011666828766465187,4976.0,0.9995982322217758
Pid1,0.0,0.0,4978.0,1.0
Trip12,0.17427688837051392,0.2805865705013275,3214.0,0.6456408196062676
Fbxo36,0.0047236098907887936,0.04435677453875542,4912.0,0.9867416633186018
C130026I21Rik,0.003065555589273572,0.04305519908666611,4947.0,0.9937725994375252
A530032D15Rik,0.002055178862065077,0.03616482764482498,4956.0,0.995580554439534
Gm10553,0.0014814524911344051,0.028138497844338417,4960.0,0.9963840899959823
A530040E14Rik,0.008857018314301968,0.0721922516822815,4883.0,0.9809160305343512
Sp110,0.34907886385917664,0.36878702044487,2099.0,0.42165528324628365
Sp140,0.19686293601989746,0.33449792861938477,3240.0,0.650863800723182
Gm10552,0.00014201660815160722,0.005826914682984352,4975.0,0.9993973483326637
Gm17017,0.0,0.0,4978.0,1.0
Sp100,0.4923616945743561,0.4404699504375458,1589.0,0.31920449979911614
A630001G21Rik,0.03517376631498337,0.13120673596858978,4539.0,0.9118119726797911
Cab39,0.2738926410675049,0.3366740345954895,2522.0,0.506629168340699
Itm2c,0.19534127414226532,0.30837616324424744,3146.0,0.6319807151466452
Gpr55,0.0008734349394217134,0.030193667858839035,4971.0,0.9985938127762154
2810459M11Rik,8.721815538592637e-05,0.004466102924197912,4976.0,0.9995982322217758
Psmd1,0.3282568156719208,0.3513323962688446,2245.0,0.45098433105664926
Armc9,0.004790785256773233,0.05175235494971275,4920.0,0.9883487344314986
Gm16341,0.0,0.0,4978.0,1.0
Ncl,1.2560080289840698,0.5989744663238525,452.0,0.09079951787866614
C130036L24Rik,0.004153945483267307,0.04538346454501152,4922.0,0.9887505022097228
Nmur1,0.0005513523356057703,0.015429078601300716,4971.0,0.9985938127762154
Ptma,2.826786994934082,0.6532154083251953,32.0,0.0064282844515869825
Pde6d,0.04168274998664856,0.13815151154994965,4451.0,0.8941341904379269
Cops7b,0.04838939383625984,0.14803743362426758,4361.0,0.8760546404178385
Nppc,0.00044372642878443,0.016590338200330734,4974.0,0.9991964644435516
Dis3l2,0.05116866156458855,0.15453492105007172,4334.0,0.870630775411812
Gm29055,0.0015554808778688312,0.033660583198070526,4959.0,0.9961832061068703
Eif4e2,0.40078896284103394,0.36992347240448,1826.0,0.3668139815186822
Gigyf2,0.08374139666557312,0.1978245973587036,4001.0,0.8037364403374849
Inpp5d,0.13801948726177216,0.26662975549697876,3609.0,0.7249899558055444
Atg16l1,0.058665525168180466,0.1722879409790039,4291.0,0.8619927681799919
Sag,0.0028935277368873358,0.03866944834589958,4943.0,0.9929690638810768
Dgkd,0.08912031352519989,0.21002477407455444,3999.0,0.8033346725592607
Gm19582,0.00037211235030554235,0.011457527987658978,4972.0,0.9987946966653274
Usp40,0.015843451023101807,0.08332991600036621,4764.0,0.9570108477300121
Ugt1a10,0.007651491090655327,0.06237219646573067,4879.0,0.9801124949779028
Gm20528,0.0022756531834602356,0.030788909643888474,4945.0,0.993370831659301
Ugt1a9,0.0016704181907698512,0.02793070115149021,4956.0,0.995580554439534
Ugt1a7c,0.06840348243713379,0.19868279993534088,4285.0,0.8607874648453194
Ugt1a6b,0.00036164181074127555,0.012048636563122272,4972.0,0.9987946966653274
Ugt1a6a,0.0010171664180234075,0.020883983001112938,4964.0,0.9971876255524307
Dnajb3,0.003157897386699915,0.043570514768362045,4938.0,0.9919646444355162
Mroh2a,0.0004109822039026767,0.010541275143623352,4968.0,0.9979911611088791
Hjurp,0.13146772980690002,0.2416568547487259,3566.0,0.7163519485737244
Glrp1,3.893356188200414e-05,0.002746955258771777,4977.0,0.9997991161108879
Gm29336,0.00034952888381667435,0.013987825252115726,4974.0,0.9991964644435516
Arl4c,0.0603952631354332,0.19154109060764313,4387.0,0.8812776215347529
Sh3bp4,0.00011600827565416694,0.006300746463239193,4976.0,0.9995982322217758
Agap1,0.00024892573128454387,0.014785557053983212,4976.0,0.9995982322217758
Cops8,0.1718873381614685,0.2636565566062927,3145.0,0.6317798312575331
Col6a3,0.0003833316732198,0.011048411019146442,4971.0,0.9985938127762154
Lrrfip1,0.485568642616272,0.422295480966568,1569.0,0.31518682201687426
Rbm44,0.002445683814585209,0.03169430419802666,4942.0,0.9927681799919646
Ramp1,0.011129370890557766,0.08320444822311401,4855.0,0.9752912816392125
Ube2f,0.133635014295578,0.24646113812923431,3532.0,0.7095218963439133
Scly,0.0946565493941307,0.20445075631141663,3872.0,0.777822418642025
Klhl30,0.006211249623447657,0.06483568996191025,4908.0,0.9859381277621535
Erfe,0.0026344447396695614,0.030625812709331512,4936.0,0.991562876657292
Ilkap,0.18886898458003998,0.2829826772212982,3064.0,0.6155082362394536
1700020N18Rik,0.0007471044664271176,0.025296581909060478,4972.0,0.9987946966653274
Hes6,0.09273307770490646,0.20936010777950287,3940.0,0.7914825231016472
Per2,0.003668874269351363,0.042989280074834824,4930.0,0.9903575733226195
